瑞景新苑 刘园
佳园里 瑞景新苑
本溪路 佳园里
勤俭道 本溪路
洪湖里 勤俭道
西站 洪湖里
西北角 西站
西南角 西北角
二纬路 西南角
海光寺 二纬路
鞍山道 海光寺
营口道 鞍山道
小白楼 营口道
下瓦房 小白楼
南楼 下瓦房
土城 南楼
陈塘庄 土城
复兴门 陈塘庄
华山里 复兴门
财经大学 华山里
双林 财经大学
李楼 双林
卞兴 曹庄
芥园西道 卞兴
咸阳路 芥园西道
长虹公园 咸阳路
广开四马路 长虹公园
西南角 广开四马路
鼓楼 西南角
东南角 鼓楼
建国道 东南角
天津站 建国道
远洋国际中心 天津站
顺驰桥 远洋国际中心
靖江路 顺驰桥
翠阜新村 靖江路
屿东城 翠阜新村
登州路 屿东城
国山路 登州路
空港经济区 国山路
滨海国际机场 空港经济区
丰产河 小淀
华北集团 丰产河
天士力 华北集团
宣兴埠 天士力
张兴庄 宣兴埠
铁东路 张兴庄
北站 铁东路
中山路 北站
金狮桥 中山路
天津站 金狮桥
津港广场 天津站
和平路 津港广场
营口道 和平路
西康路 营口道
吴家窑 西康路
天塔 吴家窑
周邓纪念馆 天塔
红旗南路 周邓纪念馆
王顶堤 红旗南路
华苑 王顶堤
大学城 华苑
高新区 大学城
学府工业园 高新区
杨伍庄 学府工业园
南站 杨伍庄
丹河北道 北辰科技园北
北辰道 丹河北道
职业大学 北辰道
淮河道 职业大学
辽河北道 淮河道
宣兴埠北 辽河北道
张兴庄 宣兴埠北
志成路 张兴庄
思源路 志成路
建昌道 思源路
金钟河大街 建昌道
月牙河 金钟河大街
幸福公园 月牙河
靖江路 幸福公园
成林道 靖江路
津塘路 成林道
直沽 津塘路
下瓦房 直沽
西南楼 下瓦房
乐园道 西南楼
文化中心 乐园道
天津宾馆 文化中心
肿瘤医院 天津宾馆
体育中心 肿瘤医院
凌宾路 体育中心
昌凌路 凌宾路
中医一附院 昌凌路
南河庄 南孙庄
大毕庄 南河庄
金钟街 大毕庄
徐庄子 金钟街
金钟河大街 徐庄子
民权门 金钟河大街
北宁公园 民权门
北站 北宁公园
新开河 北站
外院附中 新开河
天秦路 外院附中
北竹林 天秦路
西站 北竹林
复兴路 西站
人民医院 复兴路
长虹公园 人民医院
宜宾道 长虹公园
鞍山西道 宜宾道
天拖 鞍山西道
一中心医院 天拖
红旗南路 一中心医院
迎风道 红旗南路
南翠屏 迎风道
水上公园东路 南翠屏
肿瘤医院 水上公园东路
天津宾馆 肿瘤医院
文化中心 天津宾馆
乐园道 文化中心
尖山路 乐园道
黑牛城道 尖山路
梅江道 黑牛城道
左江道 梅江道
梅江公园 左江道
梅江会展中心 梅江公园
解放南路 梅江会展中心
洞庭路 解放南路
梅林路 洞庭路
大王庄 天津站
十一经路 大王庄
直沽 十一经路
东兴路 直沽
中山门 东兴路
一号桥 中山门
二号桥 一号桥
张贵庄 二号桥
新立 张贵庄
东丽开发区 新立
小东庄 东丽开发区
军粮城 小东庄
钢管公司 军粮城
胡家园 钢管公司
塘沽 胡家园
泰达 塘沽
市民广场 泰达
太湖路 市民广场
会展中心 太湖路
东海路 会展中心
